,Nevents,Time (s),Reaction Index,mRNA Population,Protein Population
0,0,0.0,,0.0,0.0
1,500,1393.4602750595288,3.0,2.0,48.0
2,1000,2435.94053958246,1.0,3.0,73.0
3,1500,3641.788928795446,1.0,3.0,45.0
4,2000,4893.961595387613,2.0,0.0,38.0
5,2500,6016.557182733047,2.0,1.0,53.0
6,3000,7371.870448725912,3.0,1.0,43.0
7,3500,8719.039131529225,0.0,2.0,30.0
8,4000,10245.884913386348,0.0,2.0,50.0
9,4500,11682.222323454034,2.0,3.0,51.0
10,5000,13082.724588727575,3.0,2.0,40.0
11,5500,14399.188420707458,2.0,1.0,45.0
12,6000,15564.844018255597,0.0,2.0,50.0
13,6500,16945.88718858371,2.0,1.0,47.0
14,7000,18137.39257136836,2.0,2.0,62.0
15,7500,19446.44948254889,2.0,1.0,43.0
16,8000,20598.50911323703,2.0,2.0,54.0
17,8500,21683.14842954782,2.0,0.0,56.0
18,9000,22952.55692874432,1.0,1.0,59.0
19,9500,24310.462564092686,0.0,2.0,42.0
20,10000,25421.005062340224,1.0,2.0,62.0
21,10500,26549.464362217772,2.0,1.0,53.0
22,11000,27509.398378971062,1.0,1.0,71.0
23,11500,28644.555131490877,3.0,1.0,65.0
24,11540,28800.45228067038,0.0,1.0,55.0
